source,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,Aa,Ad,Ai,Ait,Ao,Av,ClRCi,ClTCi,DIT,HMd,HMi,MHF,MIF,Ma,Md,Mi,Mit,Mo,NF,NM,NMA,NMI,NOA,NOCh,NOD,NOL,NOPa,NORM,NPF,NPM,NSF,NSM,PMR,PMd,PMi,RTLOC,SIX,WMC,Ci,Di,Fin,Fout,IOVars,MCLC,NBD,NCOMP,NOP,NVAR,Si,VG,DMS,I,AHF,AIF,LCOM*,NMIR,PF
club.newtech.qbick.gateway,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
club.newtech.qbike,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.github.joffryferrater.priceservice,0.0,100.0,0.0,1.0,2.0,0.0,0.333333333,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.github.joffryferrater.priceservice.models,0.5,0.0,1.0,0.0,2.0,1.0,2.0,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,,,,
com.github.joffryferrater.itemservice,0.0,100.0,0.0,1.0,2.0,0.0,0.333333333,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.github.joffryferrater.itemservice.models,0.5,0.0,1.0,0.0,2.0,1.0,2.0,8.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,,,,
com.github.joffryferrater.accountservice,0.0,100.0,0.0,1.0,2.0,0.0,0.333333333,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
com.github.joffryferrater.accountservice.models,0.5,0.0,1.0,0.0,2.0,1.0,2.0,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,,,,,
com.github.joffryferrater.storeservice,0.0,0.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.github.joffryferrater.storeservice.models,0.5,0.0,0.0,0.0,2.0,1.0,1.363636364,15.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
