MS_system,Package,Class,Method,Ci,Di,Fin,Fout,IOVars,MCLC,NBD,NCOMP,NOP,NVAR,Si,TLOC,VG
qbike,club.newtech.qbick.gateway,ZuulGateway,public static void main(String[] args),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
qbike,club.newtech.qbike,EurekaApplication,public static void main(String[] args),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.priceservice,PriceServiceApplication,public static void main(String[] args),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.priceservice,PriceServiceApplication,public void init(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.priceservice,PriceServiceApplicationTests,public void contextLoads(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.priceservice.models,Price,public Price Price(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.priceservice.models,Price,"public Price Price(String itemCode, String price)",3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.priceservice.models,PriceRepository,"Price findByItemCode(@Param(""itemCode"") String itemCode)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice,ItemServiceApplication,public static void main(String[] args),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice,ItemServiceApplication,public void init(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice,ItemServiceApplicationTests,public void contextLoads(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice.models,Item,public Item Item(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice.models,Item,"public Item Item(String itemCode, String name)",3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice.models,ItemRepository,"Item findByItemCode(@Param(""itemCode"") String itemCode)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.itemservice.models,ItemRepository,"List<Item> findByName(@Param(""name"") String name)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.accountservice,AccountServiceApplication,public static void main(String[] args),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.accountservice,AccountServiceApplication,public void init(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.accountservice,AccountServiceApplicationTests,public void contextLoads(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.accountservice.models,AccountRepository,"Account findByEmail(@Param(""email"") String email)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.accountservice.models,AccountRepository,"Account findByFirstName(@Param(""firstName"") String firstName)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.accountservice.models,AccountRepository,"Account findByLastName(@Param(""lastName"") String lastName)",2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice,StoreServiceApplication,public static void main(String[] args),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice,StoreServiceApplicationTests,public void contextLoads(),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public Long getId(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public Store Store(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,"public Store Store(String storeName, String branchName, String location)",4.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public String getBranchName(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public String getLocation(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public String getStoreName(),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public void setBranchName(String branchName),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public void setId(Long id),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
Tap-And-Eat-MicroServices,com.github.joffryferrater.storeservice.models,Store,public void setLocation(String location),1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
