metric,type
Avg(NORM),complexity
Max(DIT),complexity
CountDeclMethodProtected,size
Avg(Di),complexity
CountLineComment,size
Sum(NORM),complexity
Avg(SIX),complexity
Avg(MCLC),complexity
Avg(VG),complexity
Avg(IOVars),size
Sum(SIX),complexity
Avg(Fin),complexity
Avg(Fout),complexity
Max(WMC),complexity
Avg(Si),complexity
Sum(Fin),complexity
Sum(Fout),complexity
Avg(DIT),complexity
Avg(NOA),complexity
Avg(NOCh),complexity
Avg(NOD),complexity
Avg(NOPa),complexity
Max(Fin),complexity
Sum(Si),complexity
CountLineCodeExe,size
Max(Fout),complexity
Max(Si),size
Avg(NBD),complexity
Sum(MCLC),complexity
Sum(NOA),complexity
Sum(NOCh),complexity
Sum(NOD),complexity
Sum(NOPa),complexity
Avg(NF),size
CountStmtExe,size
Avg(Ad),size
Avg(Aa),size
Violations,techdebt
Sum(HMd),size
Code smells,techdebt
Sum(RTLOC),size
CountSemicolon,size
Cognitive complexity,complexity
Sum(TLOC),size
CountLineCode,size
CountStmt,size
Avg(NM),size
Avg(NOL),size
Major violations,techdebt
CountDeclClassMethod,size
Max(VG),complexity
CountStmtDecl,size
SQ maintainability remediation effort,techdebt
Avg(LCOM*),complexity
Minor violations,techdebt
CountLine,size
Duplicated blocks,techdebt
CountLineCodeDecl,size
Critical violations,techdebt
Avg(NMA),complexity
Avg(Md),size
Max(MCLC),complexity
Sum(Ca),complexity
Sum(NOL),size
Sum(NSM),size
Avg(HMd),size
Max(LCOM*),complexity
Avg(Security rating),techdebt
Sum(Ce),complexity
Security remediation effort,techdebt
SQ security remediation effort,techdebt
Max(Security rating),techdebt
Sum(LCOM*),complexity
CountDeclMethodPrivate,size
CountDeclClassVariable,size
Sum(NSF),size
CountDeclClass,size
Max(NBD),complexity
Avg(Ma),size
Sum(NPM),size
CountDeclMethodPublic,size
Sum(PMd),size
Sum(WMC),complexity
Sum(VG),complexity
Sum(NMA),complexity
Avg(NSM),size
CountDeclMethodDefault,size
